datetime,station_id,station_name,latitude,longitude,zone,month,hour,day_of_week,is_harmattan,pm25,pm10,no2,o3,co,temperature,humidity,wind_speed,wind_dir_sin,wind_dir_cos,pressure,hour_sin,hour_cos,month_sin,month_cos,aqi_label,aqi_label_original,label_known,aqi_label_masked
2020-01-01 00:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,0,2,1,53.34,95.33,19.81,29.71,471.09,26.23,41.38,10.55,0.7527,0.6583,1016.63,0.0,1.0,0.5,0.866025,1,3,0,-1
2020-01-01 01:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,1,2,1,42.4,77.17,15.38,22.08,222.4,26.97,39.07,7.23,0.9492,0.3148,1004.21,0.258819,0.965926,0.5,0.866025,1,2,0,-1
2020-01-01 02:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,2,2,1,110.57,195.42,11.4,15.68,255.99,26.38,35.54,8.13,0.7412,0.6712,1012.4,0.5,0.866025,0.5,0.866025,2,4,0,-1
2020-01-01 03:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,3,2,1,68.41,151.67,21.64,15.53,393.81,23.83,34.46,6.9,0.6374,0.7706,1014.07,0.707107,0.707107,0.5,0.866025,1,3,0,-1
2020-01-01 04:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,4,2,1,80.75,138.67,24.74,14.62,660.18,23.33,43.68,8.46,0.8587,0.5124,1011.15,0.866025,0.5,0.5,0.866025,1,4,0,-1
2020-01-01 05:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,5,2,1,57.5,154.75,20.89,28.05,313.82,25.08,29.56,7.24,0.2827,0.9592,1009.24,0.965926,0.258819,0.5,0.866025,2,3,0,-1
2020-01-01 06:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,6,2,1,292.08,532.11,38.45,20.53,595.36,26.03,44.72,6.87,0.656,0.7548,1008.49,1.0,0.0,0.5,0.866025,5,5,0,-1
2020-01-01 07:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,7,2,1,78.64,151.43,21.95,17.36,1001.81,26.65,38.03,9.64,0.0558,0.9984,1010.39,0.965926,-0.258819,0.5,0.866025,1,4,0,-1
2020-01-01 08:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,8,2,1,106.1,271.9,41.23,7.42,992.17,29.17,30.72,9.57,0.3669,0.9303,1014.7,0.866025,-0.5,0.5,0.866025,2,4,0,-1
2020-01-01 09:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,9,2,1,122.17,302.34,46.07,3.4,683.34,28.73,31.06,8.75,0.8883,0.4593,1012.79,0.707107,-0.707107,0.5,0.866025,2,4,0,-1
2020-01-01 10:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,10,2,1,101.87,170.77,37.39,3.7,405.96,29.23,20.06,7.76,0.883,0.4694,1007.43,0.5,-0.866025,0.5,0.866025,1,4,0,-1
2020-01-01 11:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,11,2,1,164.34,356.07,22.87,20.04,368.72,27.99,20.74,8.19,0.8358,0.5491,1006.76,0.258819,-0.965926,0.5,0.866025,3,5,0,-1
2020-01-01 12:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,12,2,1,188.43,413.15,20.61,0.0,494.87,27.67,23.12,10.07,0.8635,0.5044,1014.83,0.0,-1.0,0.5,0.866025,2,5,0,-1
2020-01-01 13:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,13,2,1,32.1,70.96,24.81,12.02,423.37,30.64,26.88,10.12,0.9951,0.0985,1007.61,-0.258819,-0.965926,0.5,0.866025,0,2,0,-1
2020-01-01 14:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,14,2,1,63.38,107.27,23.09,6.8,338.82,28.52,34.16,8.22,0.6165,0.7874,1006.78,-0.5,-0.866025,0.5,0.866025,0,3,0,-1
2020-01-01 15:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,15,2,1,161.36,426.92,28.58,5.79,492.18,28.8,35.31,9.81,0.4684,0.8835,1006.67,-0.707107,-0.707107,0.5,0.866025,3,5,0,-1
2020-01-01 16:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,16,2,1,261.02,698.32,25.99,4.66,474.96,25.35,29.03,7.9,0.5497,0.8354,1014.23,-0.866025,-0.5,0.5,0.866025,5,5,0,-1
2020-01-01 17:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,17,2,1,181.74,478.51,28.37,8.86,612.28,25.51,41.09,8.2,0.968,0.2509,1016.64,-0.965926,-0.258819,0.5,0.866025,4,5,0,-1
2020-01-01 18:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,18,2,1,135.59,271.87,31.36,6.17,808.48,23.45,41.21,8.05,0.1546,0.988,1012.44,-1.0,-0.0,0.5,0.866025,3,4,0,-1
2020-01-01 19:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,19,2,1,110.86,306.64,47.19,0.0,649.02,24.07,41.91,7.87,0.9797,0.2002,1011.92,-0.965926,0.258819,0.5,0.866025,2,4,0,-1
2020-01-01 20:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,20,2,1,102.14,225.04,21.66,10.47,566.47,26.08,32.01,8.47,0.8064,0.5914,1012.73,-0.866025,0.5,0.5,0.866025,2,4,0,-1
2020-01-01 21:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,21,2,1,77.52,146.55,20.15,22.55,526.18,23.22,33.15,8.07,0.7994,0.6008,1012.22,-0.707107,0.707107,0.5,0.866025,1,4,0,-1
2020-01-01 22:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,22,2,1,52.96,124.93,27.97,16.01,719.73,24.36,35.63,7.2,0.2139,0.9769,1011.33,-0.5,0.866025,0.5,0.866025,1,3,0,-1
2020-01-01 23:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,23,2,1,48.32,88.12,23.83,14.97,331.18,25.2,37.01,7.53,0.5624,0.8268,1011.88,-0.258819,0.965926,0.5,0.866025,0,2,0,-1
2020-01-02 00:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,0,3,1,101.95,190.83,16.13,10.05,433.88,24.2,39.6,7.81,0.9413,-0.3377,1010.26,0.0,1.0,0.5,0.866025,2,4,0,-1
2020-01-02 01:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,1,3,1,127.54,225.1,17.15,13.17,347.24,24.7,35.17,8.77,0.6174,0.7866,1014.16,0.258819,0.965926,0.5,0.866025,2,4,0,-1
2020-01-02 02:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,2,3,1,106.23,254.1,21.28,20.81,548.16,24.73,32.54,8.02,0.5321,0.8467,1019.19,0.5,0.866025,0.5,0.866025,2,4,0,-1
2020-01-02 03:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,3,3,1,81.11,217.09,17.0,23.81,475.19,25.5,37.18,6.95,0.7949,0.6068,1014.39,0.707107,0.707107,0.5,0.866025,2,4,0,-1
2020-01-02 04:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,4,3,1,123.92,331.67,14.35,25.59,433.06,24.48,44.3,9.06,0.5279,0.8493,1015.78,0.866025,0.5,0.5,0.866025,3,4,0,-1
2020-01-02 05:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,5,3,1,124.48,200.55,26.98,21.38,361.64,25.33,33.04,7.77,0.4929,0.8701,1006.93,0.965926,0.258819,0.5,0.866025,3,4,0,-1
2020-01-02 06:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,6,3,1,80.62,195.93,18.66,13.01,681.99,25.07,33.71,7.07,0.4684,0.8835,1015.84,1.0,0.0,0.5,0.866025,2,4,0,-1
2020-01-02 07:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,7,3,1,157.15,392.21,25.14,27.48,836.43,26.54,39.36,9.22,0.2146,0.9767,1014.43,0.965926,-0.258819,0.5,0.866025,4,5,0,-1
2020-01-02 08:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,8,3,1,162.57,331.85,41.37,5.67,665.28,27.27,25.18,8.75,0.7103,0.7039,1012.01,0.866025,-0.5,0.5,0.866025,3,5,0,-1
2020-01-02 09:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,9,3,1,330.59,779.33,32.85,15.5,1119.41,29.82,22.82,10.26,0.9927,0.1204,1008.55,0.707107,-0.707107,0.5,0.866025,5,5,0,-1
2020-01-02 10:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,10,3,1,85.82,211.7,26.6,8.29,649.55,27.67,30.64,7.82,0.4968,0.8679,1011.9,0.5,-0.866025,0.5,0.866025,1,4,0,-1
2020-01-02 11:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,11,3,1,135.23,373.23,26.13,9.07,289.03,30.3,40.38,8.76,0.1699,0.9855,1015.21,0.258819,-0.965926,0.5,0.866025,3,4,0,-1
2020-01-02 12:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,12,3,1,85.85,194.72,15.97,20.0,437.93,28.52,26.01,8.85,0.9752,0.2215,1016.0,0.0,-1.0,0.5,0.866025,1,4,0,-1
2020-01-02 13:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,13,3,1,102.19,284.92,14.24,18.48,278.17,27.71,26.8,8.68,0.3677,0.93,1009.93,-0.258819,-0.965926,0.5,0.866025,2,4,0,-1
2020-01-02 14:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,14,3,1,162.55,397.11,25.43,1.31,299.87,29.92,33.87,6.82,0.5285,0.8489,1014.43,-0.5,-0.866025,0.5,0.866025,4,5,0,-1
2020-01-02 15:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,15,3,1,139.26,375.42,21.81,16.86,1253.75,27.3,38.86,8.02,0.6346,0.7728,1011.12,-0.707107,-0.707107,0.5,0.866025,3,4,0,-1
2020-01-02 16:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,16,3,1,241.75,617.66,33.17,4.88,643.87,26.53,31.74,7.4,0.124,0.9923,1014.53,-0.866025,-0.5,0.5,0.866025,5,5,0,-1
2020-01-02 17:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,17,3,1,143.64,236.02,23.96,29.1,387.63,24.37,45.55,8.06,0.4255,0.905,1013.04,-0.965926,-0.258819,0.5,0.866025,3,4,1,3
2020-01-02 18:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,18,3,1,118.43,194.79,35.03,2.21,979.39,22.48,25.16,7.68,0.5725,0.8199,1012.66,-1.0,-0.0,0.5,0.866025,2,4,0,-1
2020-01-02 19:00:00,0,US Embassy Dakar,14.6928,-17.4467,diplomatic,1,19,3,1,178.27,331.4,32.19,1.45,694.71,25.76,38.92,7.89,0.8759,0.4826,1010.15,-0.965926,0.258819,0.5,0.866025,3,5,0,-1
